backslashjasdlf',backslashasdn',0,0,0,1,0,NULL,NULL,NULL,NULL,backslash;',NULL,NULL,NULL,NULL,NULL,backslash',;',dblequote',B.H.',Thursday',2018-07-12 07:55:06'
'1','2',1,NULL,NULL,0,NULL,NULL,0,0,NULL,'one bar out shelf one ','N/A',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:08:55'
'1','3',0,0,1,0,0,2,0,0,NULL,NULL,NULL,'uneven ',NULL,NULL,'damage check shelf 3',NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:12:32'
'1','4',0,0,0,0,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,'damage to leaves ',NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:15:02'
'1','5',1,0,0,0,0,1,0,0,NULL,'1 bar shelf 1',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:17:36'
'1','6',0,1,0,0,0,1,0,0,NULL,NULL,'nutritional/wilted',NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:20:30'
'1','7',0,1,1,1,1,1,0,0,NULL,NULL,'wilted; ','even/off','less than 50%','meter 78',NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:22:28'
'1','8',1,0,0,0,0,3,0,0,NULL,'1 bar out shelf 2',NULL,NULL,NULL,NULL,'aphids ',NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:24:15'
'1','9',1,NULL,NULL,1,NULL,NULL,1,0,NULL,'1 bar out shelf 4','N/A',NULL,NULL,NULL,NULL,'off/down',NULL,NULL,'d.p.','Thursday','2018-07-19 08:27:09'
'1','10 ',0,NULL,NULL,0,NULL,1,1,0,NULL,NULL,'N/A',NULL,NULL,NULL,NULL,'off/down',NULL,NULL,'d.p.','Thursday','2018-07-19 08:28:10'
'1','11',1,NULL,NULL,0,NULL,NULL,1,0,NULL,'1 bar out shelf 1','N/A',NULL,NULL,NULL,NULL,'off/down',NULL,NULL,'d.p.','Thursday','2018-07-19 08:29:01'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:29:02'
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:29:02'
'1','12',0,1,0,0,0,2,1,0,NULL,NULL,' wilted; discolored ',NULL,NULL,NULL,'some damage to leaves ','off/down ',NULL,NULL,'d.p.','Thursday','2018-07-19 08:36:56'
'1','13',0,1,0,0,0,2,0,0,NULL,NULL,'wilted; discolored;',NULL,NULL,NULL,'damage to leaves ',NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:38:00'
'1','14',0,0,0,0,1,0,0,0,NULL,NULL,NULL,NULL,NULL,'meter 85',NULL,NULL,NULL,NULL,'d.p.','Thursday','2018-07-19 08:42:00'
